cisp,mes,ano,mes_ano,aisp,risp,munic,mcirc,regiao,hom_doloso,lesao_corp_morte,latrocinio,cvli,hom_por_interv_policial,feminicidio,letalidade_violenta,tentat_hom,tentativa_feminicidio,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_rua,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias,fase
14,5,2021,2021-05-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,1,,1,1,,12,1,1,5,34,13,4,51,0,0,2,0,0,0.0,0,0,0.0,8,61,1,32,1,38,16.0,97,185,0,2,0,53,30,21.0,8.0,1.0,3,36.0,11.0,4.0,0.0,12,1,0,0,0,0,473,3
15,5,2021,2021-05-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,1,,20,0,0,7,19,8,1,28,10,1,1,1,0,0.0,0,1,0.0,3,45,2,6,12,10,2.0,33,65,0,2,0,52,5,4.0,0.0,1.0,1,8.0,0.0,2.0,0.0,20,2,0,0,0,0,281,3
16,5,2021,2021-05-01,31,2,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,1,,41,2,0,27,58,27,17,102,9,0,6,1,0,0.0,0,1,1.0,41,161,16,14,52,97,4.0,312,495,0,4,0,268,31,26.0,5.0,0.0,3,56.0,12.0,23.0,0.0,74,1,0,0,0,0,1436,3
17,5,2021,2021-05-01,4,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,11,,19,0,5,21,36,21,25,82,17,1,2,1,0,0.0,0,0,0.0,17,120,8,4,10,16,0.0,79,117,0,0,0,42,9,1.0,5.0,3.0,5,25.0,4.0,11.0,1.0,24,0,0,0,0,0,482,3
18,5,2021,2021-05-01,6,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,3,,17,0,0,9,32,13,12,57,19,2,1,1,0,0.0,0,0,0.0,15,95,1,8,3,14,0.0,68,94,0,0,0,46,2,1.0,1.0,0.0,3,8.0,5.0,10.0,0.0,15,1,0,0,0,0,347,3
19,5,2021,2021-05-01,6,1,Rio de Janeiro,3304557,Capital,1,0,0,1,3,,4,8,,21,0,2,4,30,10,6,46,27,2,1,2,0,0.0,0,0,0.0,13,91,7,18,9,12,8.0,71,125,0,3,0,124,4,0.0,2.0,2.0,5,19.0,2.0,8.0,3.0,25,3,0,0,0,0,569,3
20,5,2021,2021-05-01,6,1,Rio de Janeiro,3304557,Capital,0,0,0,0,2,,2,14,,15,3,0,12,37,19,2,58,13,1,2,2,0,0.0,0,1,0.0,3,80,3,10,6,10,3.0,55,87,0,0,0,80,11,5.0,5.0,1.0,3,19.0,4.0,2.0,0.0,28,1,0,0,0,0,422,3
21,5,2021,2021-05-01,22,1,Rio de Janeiro,3304557,Capital,2,0,0,2,3,,5,6,,43,6,3,33,113,28,72,213,28,5,4,0,1,0.0,1,2,0.0,25,279,14,21,28,24,2.0,133,222,0,3,0,94,13,3.0,8.0,2.0,38,39.0,1.0,80.0,3.0,49,6,1,0,0,0,1032,3
22,5,2021,2021-05-01,16,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,6,,52,3,1,51,47,23,20,90,37,9,1,1,0,0.0,0,1,0.0,15,154,23,6,11,21,0.0,122,183,0,2,0,120,10,1.0,9.0,1.0,20,20.0,2.0,10.0,1.0,44,1,0,0,0,0,942,3
23,5,2021,2021-05-01,3,1,Rio de Janeiro,3304557,Capital,1,2,0,3,1,,4,1,,15,1,0,6,47,13,1,61,17,0,1,1,0,1.0,0,0,1.0,13,95,7,5,3,9,0.0,54,78,0,3,0,56,2,2.0,0.0,0.0,6,10.0,1.0,4.0,0.0,17,3,0,0,0,0,388,3
24,5,2021,2021-05-01,3,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,1,,22,1,0,9,37,23,2,62,25,5,3,0,0,0.0,0,0,0.0,18,113,8,4,4,10,1.0,44,71,0,0,0,31,2,0.0,1.0,1.0,9,8.0,0.0,6.0,0.0,23,5,0,0,0,0,345,3
25,5,2021,2021-05-01,3,1,Rio de Janeiro,3304557,Capital,2,0,0,2,27,,29,3,,20,2,0,17,42,9,16,67,13,2,1,1,0,0.0,1,0,0.0,22,107,9,4,5,6,1.0,59,84,0,1,0,25,10,1.0,8.0,1.0,17,19.0,1.0,7.0,1.0,27,2,0,0,0,0,396,3
26,5,2021,2021-05-01,3,1,Rio de Janeiro,3304557,Capital,1,0,0,1,2,,3,2,,21,1,0,11,36,13,2,51,8,11,2,0,0,0.0,0,2,0.0,9,83,5,8,7,15,2.0,56,93,0,1,0,84,8,4.0,4.0,0.0,7,15.0,0.0,6.0,0.0,13,2,0,0,0,0,445,3
27,5,2021,2021-05-01,41,2,Rio de Janeiro,3304557,Capital,4,0,0,4,0,,4,0,,31,4,1,19,71,31,19,121,28,2,7,1,0,0.0,0,1,0.0,21,181,29,1,4,10,0.0,53,97,0,2,1,69,0,0.0,0.0,0.0,78,20.0,0.0,7.0,0.0,38,4,0,0,0,0,591,3
28,5,2021,2021-05-01,18,2,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,3,,21,1,0,8,31,8,4,43,14,1,1,0,0,0.0,0,0,0.0,8,67,3,3,6,4,0.0,30,46,0,1,0,46,3,1.0,2.0,0.0,3,10.0,0.0,3.0,0.0,30,4,0,0,0,0,294,3
29,5,2021,2021-05-01,9,2,Rio de Janeiro,3304557,Capital,5,0,0,5,0,,5,2,,48,2,0,31,91,36,30,157,33,2,3,0,0,0.0,0,0,0.0,32,227,17,41,21,18,1.0,96,194,0,2,0,98,4,1.0,1.0,2.0,29,13.0,2.0,4.0,0.0,43,4,0,0,0,0,812,3
30,5,2021,2021-05-01,9,2,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,28,2,0,11,42,26,9,77,18,1,6,0,0,0.0,0,1,0.0,9,112,18,3,3,5,0.0,28,57,0,3,0,22,8,2.0,4.0,2.0,9,16.0,1.0,2.0,0.0,52,4,0,0,0,0,358,3
31,5,2021,2021-05-01,41,2,Rio de Janeiro,3304557,Capital,1,0,0,1,3,,4,9,,38,6,0,12,56,7,11,74,37,8,3,0,0,0.0,0,0,0.0,24,146,10,6,7,4,0.0,17,44,0,0,0,40,9,0.0,8.0,1.0,24,22.0,3.0,2.0,0.0,45,2,0,0,0,0,433,3
32,5,2021,2021-05-01,18,2,Rio de Janeiro,3304557,Capital,8,1,0,9,2,,11,0,,110,4,1,29,140,41,72,253,30,6,13,1,0,2.0,0,1,0.0,43,349,22,21,34,44,5.0,186,312,0,4,0,187,2,1.0,1.0,0.0,32,55.0,10.0,16.0,0.0,120,5,0,0,0,0,1463,3
33,5,2021,2021-05-01,14,2,Rio de Janeiro,3304557,Capital,3,0,0,3,2,,5,3,,57,2,1,25,133,47,16,196,41,9,14,2,0,1.0,1,2,0.0,20,286,40,9,20,13,3.0,58,143,0,0,0,143,7,1.0,6.0,0.0,27,20.0,2.0,14.0,0.0,62,2,0,0,0,0,928,3
34,5,2021,2021-05-01,14,2,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,1,,125,7,6,28,82,38,37,157,116,12,6,1,0,0.0,0,4,0.0,20,316,33,10,3,13,1.0,82,142,0,6,0,94,35,1.0,20.0,14.0,54,48.0,3.0,17.0,0.0,99,8,0,0,0,0,1161,3
35,5,2021,2021-05-01,40,2,Rio de Janeiro,3304557,Capital,0,0,1,1,0,,1,2,,111,19,4,56,63,18,2,83,93,4,5,0,0,0.0,2,1,1.0,28,217,59,33,6,21,0.0,77,196,0,1,0,178,4,2.0,2.0,0.0,39,60.0,3.0,25.0,0.0,99,7,1,0,0,0,1092,3
36,5,2021,2021-05-01,27,2,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,2,,84,15,4,15,41,4,3,48,12,1,3,0,0,0.0,0,0,0.0,8,72,29,5,2,5,2.0,64,107,0,0,1,79,2,0.0,2.0,0.0,5,19.0,0.0,4.0,1.0,54,4,0,0,0,0,584,3
37,5,2021,2021-05-01,17,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,0,,46,3,0,15,29,5,3,37,7,1,2,1,0,0.0,1,0,0.0,9,58,7,5,7,14,0.0,60,93,1,2,0,111,3,1.0,2.0,0.0,20,10.0,0.0,3.0,0.0,41,5,0,0,0,0,690,3
38,5,2021,2021-05-01,16,1,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,7,,35,0,0,21,57,20,16,93,42,17,2,0,0,0.0,0,2,0.0,15,171,17,4,1,2,0.0,34,58,0,1,0,41,7,0.0,7.0,0.0,50,15.0,3.0,5.0,0.0,39,2,0,0,0,0,517,3
39,5,2021,2021-05-01,41,2,Rio de Janeiro,3304557,Capital,2,0,0,2,1,,3,3,,36,4,1,12,61,21,47,129,111,14,6,0,0,0.0,0,1,0.0,91,352,25,6,2,5,0.0,27,65,0,3,0,35,3,0.0,3.0,0.0,51,20.0,2.0,11.0,0.0,26,3,0,0,0,0,684,3
40,5,2021,2021-05-01,9,2,Rio de Janeiro,3304557,Capital,3,0,0,3,0,,3,0,,22,3,2,6,73,30,31,134,51,6,3,0,0,1.0,0,1,0.0,27,223,7,3,3,3,0.0,30,46,0,0,0,27,2,0.0,2.0,0.0,48,9.0,3.0,4.0,0.0,24,3,0,0,0,0,474,3
41,5,2021,2021-05-01,18,2,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,0,,33,0,0,25,40,16,3,59,14,2,3,0,0,0.0,0,1,0.0,11,90,5,8,5,5,1.0,48,72,0,1,0,39,1,0.0,1.0,0.0,5,16.0,2.0,3.0,0.0,39,3,0,0,0,0,384,3
42,5,2021,2021-05-01,31,2,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,2,,47,2,0,17,25,9,0,34,4,0,11,2,0,0.0,1,0,0.0,8,60,22,2,8,14,7.0,78,131,0,1,0,104,94,91.0,0.0,3.0,5,21.0,0.0,10.0,0.0,70,5,0,0,0,0,724,3
43,5,2021,2021-05-01,27,2,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,1,,77,3,4,23,9,9,0,18,6,2,3,1,0,0.0,1,1,0.0,5,37,17,0,3,11,0.0,30,61,0,0,0,27,1,1.0,0.0,0.0,10,7.0,1.0,6.0,0.0,81,3,0,0,0,0,399,3
44,5,2021,2021-05-01,3,1,Rio de Janeiro,3304557,Capital,1,0,0,1,1,,2,0,,23,0,1,16,36,25,7,68,21,0,2,2,0,0.0,0,1,0.0,18,112,4,6,6,4,0.0,56,76,0,2,0,40,1,0.0,1.0,0.0,7,15.0,0.0,8.0,0.0,18,3,0,0,0,0,349,3
48,5,2021,2021-05-01,24,3,Seropédica,3305554,Baixada Fluminense,3,0,0,3,0,,3,0,,22,4,2,10,10,14,0,24,2,2,1,0,0,0.0,0,0,0.0,1,30,3,0,0,2,0.0,11,16,0,3,0,14,10,4.0,7.0,0.0,10,14.0,1.0,4.0,1.0,12,3,0,0,0,0,178,3
50,5,2021,2021-05-01,24,3,Itaguaí,3302007,Baixada Fluminense,2,0,0,2,2,,4,5,,53,8,4,10,8,4,4,16,11,3,5,2,0,0.0,0,0,0.0,4,41,13,5,1,8,0.0,97,124,0,4,0,25,8,7.0,2.0,0.0,4,35.0,2.0,4.0,0.0,41,5,2,0,0,0,431,3
51,5,2021,2021-05-01,24,3,Paracambi,3303609,Baixada Fluminense,0,0,0,0,2,,2,0,,18,0,1,0,2,0,0,2,1,0,0,0,0,0.0,0,0,0.0,1,4,3,0,0,1,0.0,6,10,0,1,0,15,20,11.0,8.0,1.0,1,15.0,0.0,8.0,0.0,28,1,0,0,0,0,125,3
52,5,2021,2021-05-01,20,3,Nova Iguaçu,3303500,Baixada Fluminense,1,0,0,1,0,,1,0,,33,4,2,30,78,30,23,131,50,5,7,0,0,0.0,0,2,0.0,19,214,36,21,1,10,0.0,91,159,0,4,0,67,4,3.0,1.0,0.0,10,49.0,1.0,15.0,0.0,35,5,0,0,0,0,706,3
53,5,2021,2021-05-01,20,3,Mesquita,3302858,Baixada Fluminense,6,0,0,6,0,,6,5,,45,6,2,5,71,15,21,107,23,5,2,1,0,0.0,0,1,0.0,10,149,13,2,0,6,0.0,23,44,0,0,0,27,5,0.0,5.0,0.0,8,19.0,2.0,3.0,0.0,33,6,0,0,0,0,418,3
54,5,2021,2021-05-01,39,3,Belford Roxo,3300456,Baixada Fluminense,10,0,0,10,8,,18,7,,110,17,3,25,99,33,36,168,118,7,7,1,0,0.0,0,1,0.0,43,345,28,2,1,7,0.0,36,74,0,2,0,45,10,1.0,9.0,0.0,29,43.0,1.0,31.0,0.0,87,17,1,0,0,0,922,3
55,5,2021,2021-05-01,24,3,Queimados,3304144,Baixada Fluminense,7,0,0,7,1,,8,10,,48,13,0,19,36,13,2,51,8,3,2,3,0,0.0,0,0,0.0,10,77,11,7,3,10,0.0,26,57,0,1,0,23,1,0.0,1.0,0.0,2,14.0,0.0,9.0,1.0,39,6,0,0,0,0,366,3
56,5,2021,2021-05-01,20,3,Nova Iguaçu,3303500,Baixada Fluminense,4,0,0,4,0,,4,2,,89,15,4,23,65,39,12,116,21,6,5,2,0,0.0,0,1,1.0,17,169,17,3,1,5,0.0,32,58,0,0,1,33,10,4.0,5.0,1.0,5,16.0,2.0,3.0,0.0,62,9,0,0,0,0,552,3
57,5,2021,2021-05-01,20,3,Nilópolis,3303203,Baixada Fluminense,1,0,0,1,0,,1,4,,43,1,0,14,59,29,2,90,14,4,3,0,0,0.0,0,1,0.0,19,131,6,7,0,0,0.0,48,61,0,0,0,44,1,0.0,1.0,0.0,6,19.0,0.0,4.0,0.0,41,4,0,0,0,0,436,3
58,5,2021,2021-05-01,20,3,Nova Iguaçu,3303500,Baixada Fluminense,13,0,1,14,0,,14,8,,138,11,3,32,64,24,12,100,50,5,5,3,0,0.0,0,2,0.0,17,182,22,1,3,11,0.0,48,85,0,6,0,36,13,8.0,5.0,0.0,12,16.0,0.0,3.0,0.0,117,7,0,0,0,0,767,3
59,5,2021,2021-05-01,15,3,Duque de Caxias,3301702,Baixada Fluminense,6,0,0,6,0,,6,13,,95,13,5,34,191,20,50,261,88,14,18,0,0,0.0,0,13,0.0,29,423,42,28,5,6,0.0,87,168,0,1,0,75,9,4.0,5.0,0.0,30,59.0,5.0,17.0,1.0,76,8,0,0,0,0,1144,3
60,5,2021,2021-05-01,15,3,Duque de Caxias,3301702,Baixada Fluminense,10,0,0,10,2,,12,5,,56,7,6,14,65,25,25,115,101,25,0,3,1,0.0,0,0,0.0,22,267,35,3,0,3,0.0,39,80,0,2,0,43,10,3.0,7.0,0.0,24,45.0,3.0,10.0,0.0,41,5,0,0,0,0,692,3
61,5,2021,2021-05-01,15,3,Duque de Caxias,3301702,Baixada Fluminense,0,0,0,0,0,,0,2,,17,2,1,7,6,2,0,8,7,1,1,0,0,0.0,0,0,0.0,1,18,5,1,0,2,0.0,11,19,0,0,0,18,0,0.0,0.0,0.0,2,7.0,0.0,0.0,0.0,20,1,0,0,0,0,134,3
62,5,2021,2021-05-01,15,3,Duque de Caxias,3301702,Baixada Fluminense,4,0,0,4,0,,4,1,,41,8,0,14,52,15,1,68,31,5,3,0,0,0.0,0,2,1.0,13,123,9,1,0,1,2.0,15,28,0,0,0,18,6,0.0,6.0,0.0,20,13.0,2.0,4.0,0.0,41,3,1,0,0,0,358,3
63,5,2021,2021-05-01,24,3,Japeri,3302270,Baixada Fluminense,4,0,1,5,4,,9,4,,18,1,1,0,10,3,0,13,5,2,2,1,0,0.0,0,0,0.0,9,32,5,3,1,6,0.0,24,39,0,0,0,7,8,1.0,7.0,0.0,7,18.0,2.0,8.0,0.0,12,3,0,0,0,0,183,3
64,5,2021,2021-05-01,21,3,São João de Meriti,3305109,Baixada Fluminense,7,0,0,7,5,,12,11,,87,10,3,44,172,65,70,307,91,23,6,2,0,0.0,0,6,0.0,43,478,61,13,8,10,2.0,91,185,0,2,1,269,13,1.0,12.0,0.0,26,45.0,4.0,7.0,0.0,77,10,2,0,0,0,1407,3
65,5,2021,2021-05-01,34,3,Magé,3302502,Baixada Fluminense,1,0,0,1,0,,1,0,,18,2,1,7,8,6,1,15,3,0,4,1,0,0.0,0,0,0.0,1,24,5,4,2,3,1.0,19,34,0,1,0,17,7,2.0,4.0,1.0,1,6.0,1.0,0.0,0.0,20,1,0,0,0,0,177,3
66,5,2021,2021-05-01,34,3,Magé,3302502,Baixada Fluminense,3,0,0,3,1,,4,3,,47,3,2,26,17,7,0,24,8,1,0,1,0,0.0,0,0,1.0,2,37,5,5,0,4,4.0,35,53,0,1,0,18,6,5.0,1.0,0.0,10,14.0,2.0,11.0,1.0,43,1,0,0,0,0,319,3
67,5,2021,2021-05-01,34,3,Guapimirim,3301850,Baixada Fluminense,1,0,0,1,0,,1,0,,9,0,0,7,2,7,0,9,3,2,0,1,0,0.0,0,0,0.0,2,17,4,1,0,2,1.0,11,19,0,1,0,10,3,2.0,1.0,0.0,4,2.0,0.0,4.0,0.0,15,2,1,0,0,0,126,3
1,6,2021,2021-06-01,5,1,Rio de Janeiro,3304557,Capital,0,1,0,1,0,,1,0,,6,0,0,3,42,6,8,56,0,0,2,0,0,0.0,0,4,1.0,1,64,3,29,5,19,4.0,59,119,0,0,0,173,5,3.0,1.0,1.0,1,10.0,1.0,8.0,0.0,6,0,0,0,0,0,505,3
4,6,2021,2021-06-01,5,1,Rio de Janeiro,3304557,Capital,1,1,0,2,0,,2,0,,17,0,3,10,37,9,25,71,6,1,0,0,0,0.0,0,0,0.0,10,88,2,30,14,21,1.0,53,121,0,1,0,32,5,0.0,5.0,0.0,1,18.0,3.0,5.0,0.0,8,3,0,0,0,0,370,3
5,6,2021,2021-06-01,5,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,2,,22,3,0,6,90,16,12,118,3,0,7,1,0,0.0,0,9,2.0,13,153,10,42,6,41,8.0,96,203,0,1,0,107,10,7.0,2.0,2.0,2,45.0,3.0,23.0,0.0,39,1,0,0,0,0,729,3
6,6,2021,2021-06-01,4,1,Rio de Janeiro,3304557,Capital,0,0,0,0,1,,1,4,,19,0,0,9,17,7,23,47,10,1,2,0,0,0.0,0,1,0.0,15,76,2,14,7,10,2.0,35,70,0,3,0,28,7,3.0,3.0,1.0,10,15.0,2.0,6.0,0.0,15,3,0,0,0,0,322,3
7,6,2021,2021-06-01,5,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,14,,6,0,0,0,9,0,4,13,0,1,0,0,0,0.0,0,0,0.0,8,22,8,3,1,3,1.0,17,33,0,1,0,11,4,0.0,3.0,1.0,4,11.0,0.0,4.0,0.0,8,2,0,0,0,0,116,3
9,6,2021,2021-06-01,2,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,0,,16,0,0,8,39,21,14,74,5,1,3,1,0,0.0,0,0,2.0,12,98,24,20,8,39,7.0,67,165,0,2,0,135,8,7.0,1.0,0.0,2,22.0,6.0,3.0,0.0,13,0,0,0,0,0,593,3
10,6,2021,2021-06-01,2,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,3,,9,0,0,22,29,11,11,51,9,0,8,0,0,0.0,0,0,2.0,8,78,15,17,17,40,7.0,178,274,0,4,0,157,3,1.0,2.0,0.0,3,27.0,5.0,3.0,0.0,29,0,0,0,0,0,759,3
11,6,2021,2021-06-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,11,2,0,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,1,2,0,0,1,2,0.0,2,5,0,0,0,5,2,0.0,2.0,0.0,0,2.0,0.0,3.0,0.0,3,0,0,0,0,0,47,3
12,6,2021,2021-06-01,19,1,Rio de Janeiro,3304557,Capital,5,0,0,5,0,,5,3,,13,1,0,3,14,11,2,27,0,1,6,1,0,0.0,0,0,0.0,5,40,6,24,8,48,10.0,99,195,0,1,0,83,11,7.0,3.0,1.0,3,28.0,17.0,14.0,2.0,27,2,0,0,0,0,612,3
13,6,2021,2021-06-01,19,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,12,0,0,5,22,8,2,32,0,0,0,1,0,0.0,0,0,0.0,6,39,2,15,9,29,6.0,59,120,0,2,0,67,5,5.0,0.0,0.0,0,32.0,7.0,4.0,1.0,8,1,0,0,0,0,373,3
14,6,2021,2021-06-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,13,1,0,3,33,17,3,53,2,0,1,1,0,0.0,0,0,1.0,8,66,4,21,4,51,14.0,90,184,0,0,0,98,11,9.0,2.0,0.0,2,32.0,14.0,11.0,0.0,14,1,0,0,0,0,524,3
15,6,2021,2021-06-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,16,1,1,14,18,7,1,26,6,0,1,0,0,0.0,0,0,0.0,2,35,4,4,11,7,1.0,53,80,0,0,0,70,7,7.0,0.0,0.0,1,19.0,0.0,3.0,0.0,13,1,0,0,0,0,317,3
16,6,2021,2021-06-01,31,2,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,2,,48,5,1,28,69,21,22,112,6,1,7,1,0,0.0,0,1,0.0,40,168,15,9,51,93,1.0,310,479,0,7,0,234,19,17.0,3.0,0.0,11,60.0,19.0,13.0,0.0,55,4,1,0,0,0,1444,3
17,6,2021,2021-06-01,4,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,5,,17,3,3,24,29,21,21,71,16,0,0,0,0,0.0,0,0,1.0,10,98,9,12,7,12,0.0,99,139,0,0,0,46,8,1.0,7.0,0.0,10,33.0,0.0,7.0,0.0,29,4,1,0,0,0,484,3
18,6,2021,2021-06-01,6,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,2,,6,0,0,5,34,16,14,64,19,1,5,1,1,1.0,0,0,0.0,12,104,4,9,14,16,0.0,46,89,0,0,0,45,3,1.0,1.0,1.0,1,10.0,2.0,4.0,0.0,3,2,1,0,0,0,327,3
19,6,2021,2021-06-01,6,1,Rio de Janeiro,3304557,Capital,0,0,0,0,1,,1,10,,25,2,1,6,29,12,1,42,27,0,3,1,0,0.0,0,0,0.0,10,83,14,18,10,16,6.0,84,148,0,1,0,113,2,1.0,1.0,0.0,6,24.0,0.0,11.0,0.0,32,2,0,0,0,0,589,3
20,6,2021,2021-06-01,6,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,6,,27,3,0,3,43,16,3,62,29,0,1,1,0,0.0,0,0,0.0,12,105,5,11,6,9,1.0,56,88,0,1,1,75,8,5.0,2.0,1.0,5,16.0,2.0,5.0,0.0,21,0,0,0,0,0,415,3
21,6,2021,2021-06-01,22,1,Rio de Janeiro,3304557,Capital,2,0,0,2,2,,4,1,,32,2,2,53,79,24,44,147,33,4,8,2,0,0.0,1,4,0.0,40,239,10,19,25,17,0.0,122,193,0,3,0,84,10,2.0,7.0,1.0,45,30.0,1.0,77.0,1.0,38,7,0,0,0,0,926,3
22,6,2021,2021-06-01,16,1,Rio de Janeiro,3304557,Capital,1,1,0,2,3,,5,8,,54,4,5,15,73,16,8,97,40,10,2,1,0,0.0,0,0,0.0,13,163,20,17,18,26,1.0,107,189,0,2,0,101,13,2.0,9.0,3.0,31,16.0,2.0,16.0,2.0,57,5,0,0,0,0,937,3
23,6,2021,2021-06-01,3,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,11,0,0,3,48,13,5,66,8,0,1,0,0,0.0,0,2,0.0,10,87,6,6,4,7,0.0,66,89,0,1,0,68,1,1.0,0.0,0.0,3,13.0,4.0,2.0,0.0,23,3,0,0,0,0,400,3
24,6,2021,2021-06-01,3,1,Rio de Janeiro,3304557,Capital,0,0,0,0,1,,1,1,,28,1,1,14,54,18,5,77,32,3,0,0,0,0.0,0,2,0.0,13,127,8,1,4,6,2.0,34,55,0,1,0,35,3,0.0,2.0,1.0,7,11.0,0.0,4.0,0.0,23,3,0,0,0,0,357,3
25,6,2021,2021-06-01,3,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,20,0,0,5,32,14,17,63,10,5,0,0,0,0.0,0,1,0.0,26,105,6,4,9,11,2.0,68,100,0,0,0,30,10,2.0,8.0,1.0,10,12.0,4.0,7.0,0.0,15,4,0,0,0,0,391,3
26,6,2021,2021-06-01,3,1,Rio de Janeiro,3304557,Capital,1,1,0,2,1,,3,2,,17,2,0,10,35,10,3,48,17,4,2,0,0,0.0,0,0,0.0,15,86,7,9,6,12,0.0,76,110,0,1,1,75,6,3.0,2.0,1.0,6,28.0,1.0,7.0,0.0,22,3,0,0,0,0,470,3
27,6,2021,2021-06-01,41,2,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,35,2,0,18,55,22,15,92,33,2,2,1,0,0.0,0,0,0.0,22,152,34,16,5,17,0.0,81,153,0,0,0,67,1,1.0,0.0,0.0,65,18.0,3.0,3.0,0.0,28,5,0,0,0,0,613,3
28,6,2021,2021-06-01,18,2,Rio de Janeiro,3304557,Capital,1,0,0,1,1,,2,1,,18,2,0,7,25,7,1,33,9,1,1,0,0,0.0,0,1,0.0,7,52,4,1,9,9,0.0,25,48,0,0,0,45,3,2.0,1.0,0.0,3,17.0,1.0,4.0,0.0,30,1,0,0,0,0,275,3
29,6,2021,2021-06-01,9,2,Rio de Janeiro,3304557,Capital,4,0,0,4,2,,6,1,,36,1,1,18,101,56,28,185,56,1,7,0,0,0.0,0,2,0.0,36,287,18,41,30,26,0.0,140,255,0,4,0,87,2,1.0,1.0,0.0,35,14.0,0.0,9.0,0.0,34,1,1,0,0,0,900,3
30,6,2021,2021-06-01,9,2,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,42,6,0,9,39,30,3,72,27,1,3,0,0,0.0,0,2,0.0,11,116,8,3,1,9,0.0,33,54,0,0,0,50,10,0.0,8.0,2.0,9,20.0,5.0,1.0,0.0,46,2,0,0,0,0,385,3
31,6,2021,2021-06-01,41,2,Rio de Janeiro,3304557,Capital,1,0,0,1,1,,2,1,,27,0,2,11,36,8,5,49,33,8,13,0,0,0.0,0,0,0.0,15,118,10,2,5,3,0.0,19,39,0,3,0,34,1,0.0,1.0,0.0,12,4.0,2.0,10.0,0.0,33,3,0,0,0,0,379,3
32,6,2021,2021-06-01,18,2,Rio de Janeiro,3304557,Capital,3,0,0,3,0,,3,3,,91,7,1,45,133,70,50,253,26,4,8,2,0,0.0,0,1,0.0,37,331,17,22,34,41,7.0,237,358,0,3,0,175,4,3.0,1.0,0.0,19,61.0,1.0,12.0,0.0,110,10,1,0,0,0,1483,3
33,6,2021,2021-06-01,14,2,Rio de Janeiro,3304557,Capital,9,0,0,9,1,,10,0,,52,10,4,21,47,28,6,81,47,9,7,1,0,0.0,0,0,0.0,27,172,23,6,14,11,3.0,63,120,0,3,0,129,4,1.0,2.0,1.0,19,40.0,4.0,13.0,0.0,80,2,0,0,0,0,796,3
